,author,dish,type,inglst,time_prep,time_cook,tags,ingredients,servings,rating_star,rating_num,meta_description
206,Elise Bauer,Tamale Pie,beef,"['beef', 'onion', 'green', 'bell', 'stem', 'fire', 'tomatoes', 'chiles', 'kernel', 'corn', 'olives', 'raisins', 'cheddar', 'cheese', 'mix', 'jiffy', 'bob', 'mill', 'whatever', 'mix', 'instructions', 'batter', 'egg', 'milk']",10,60,"['dinner', 'casserole', 'comfort food', 'texmex']","1 tablespoon extra virgin olive oil,1 1/2 pounds lean ground beef,1 onion, chopped,1 green bell pepper, seeds and stem removed, chopped,1/2 teaspoon salt,2 teaspoons chile powder (more or less to taste),2 teaspoons cumin (more or less to taste),1 (14 1/2 ounce) can fire-roasted tomatoes,1 (4-ounce) can green Anaheim chiles, drained, chopped,1 (16 ounce) can whole kernel corn, drained,1 (4 ounce) can sliced ripe olives,1/3 cup raisins,1 cup grated sharp cheddar cheese (about 4 ounces),1/3 cup water,1-pound of prepared cornbread mix (such as Jiffy or Bob's Red Mill).,Whatever is needed according to cornbread mix instructions to make the cornbread batter (water, egg, oil, milk)",Serves 6 to 8,5,9.0,"Tamale pie, classic American comfort food, made with ground beef, onion, bell pepper, tomatoes, Anaheim chiles, corn, olives, raisins, cheddar cheese, and cornbread."
207,Emma Christensen,Sous Vide Beef Tenderloin with Port Wine and Garlic,beef,"['beef', 'tenderloin', 'tawny', 'port', 'wine']",30,150,"['christmas', 'sous vide', 'paleo', 'beef']","1 1/2 to 2 pounds center-cut beef tenderloin (See Recipe Note),1 teaspoon salt,Freshly ground black pepper,2 tablespoons vegetable oil, divided,2 tablespoons butter,1/2 cup tawny port wine,4 to 5 medium cloves garlic,5 to 6 sprigs fresh thyme, plus extra to serve",4 to 6 servings,5,10.0,"Sous Vide Beef Tenderloin with Port, Garlic, and Thyme! Fool-proof recipe – I'll never feel anxious cooking beef tenderloin again. Serve for Christmas dinner or a special holiday meal."
208,Elise Bauer,Penne Pasta with Meat Sauce,beef,"['penne', 'pasta', 'rice', 'pasta', 'version', 'onion', 'onion', 'blend', 'savory', 'dash', 'pepper', 'beef', 'chunky', 'tomato', 'glen', 'get']",10,45,"['budget', 'ground beef', 'pasta and noodles']","1/2 pound penne pasta (use rice pasta for gluten-free version),Salt,2 tablespoons extra virgin olive oil,2 cups chopped onion (from about 1 large onion),2 cloves garlic, chopped,1 teaspoon Italian seasoning (blend of dried basil, oregano, rosemary, thyme, marjoram, and savory),Dash red pepper flakes,1/2 teaspoon fresh thyme (or a pinch of dried),Salt and freshly ground black pepper,1 pound (16% fat) ground beef,3 fresh basil leaves, chopped (or a 1/2 teaspoon of dried),2 1/2 cups canned chunky tomato sauce (almost 1 28-ounce can, Muir Glen brand if you can get it),1 teaspoon sugar,1 tablespoon chopped fresh parsley",Serves 4,5,18.0,"So easy! Penne pasta tossed with a simple tomato sauce with ground beef, onions, Italian seasoning, garlic, and basil. This penne pasta dish is a perfect, budget-friendly, midweek meal that everyone will love."
209,Elise Bauer,Chicken Fried Steak,beef,"['quarter', 'steaks', 'round', 'meat', 'flour', 'eggs', 'milk', 'peanut', 'drippings', 'milk']",20,20,"['video', 'comfort food', 'southern', 'steak']","4 quarter-pound cube steaks (pre-tenderized) or round steaks,A sprinkling of salt for pre-salting the meat,2 cups flour, for breading,2 teaspoons Kosher salt, for breading,1 1/2 teaspoons garlic powder,1/2 teaspoon cayenne,2 large eggs, beaten,1/2 cup milk,Canola oil, peanut oil, extra virgin olive oil, or other fat for frying,3 tablespoons pan drippings,3 tablespoons flour,1/4 cup whipping cream,1 3/4 cups milk,Salt,Freshly ground black pepper",Serves 4,5,21.0,"To make classic Chicken Fried Steak, pound steak cutlets thin, then bread and fry. Serve with rich country gravy. Chicken Fried Steak is a Southern favorite!"
210,Sally Vargas,Best Beef Chili,beef,"['onions', 'beef', 'ancho', 'chili', 'chipotle', 'sweet', 'bell', 'peppers', 'orange', 'whole', 'tomatoes', 'pureed', 'kidney', 'beans', 'beans', 'corn', 'kernels', 'cheddar', 'radishes', 'scallions', 'onions', 'lettuce', 'jalapeños']",15,90,"['video', 'soup and stew', '1-pot', 'chili', 'ground beef']","2 tablespoons olive oil,2 medium onions, finely chopped,4 cloves garlic, finely chopped,2 pounds lean ground beef,1 teaspoon salt,1 tablespoon ancho chili powder, or to taste,1/4 teaspoon chipotle chili powder, or to taste,1 tablespoon ground cumin,2 teaspoons oregano,2 sweet bell peppers (red, orange, yellow, or mixed), diced,1 (28-ounce) can whole, peeled tomatoes (or same amount of crushed or pureed),2 cups water,2 (15-ounce) cans kidney beans or black beans, drained and rinsed,1 cup fresh or frozen corn kernels,Sour cream,Grated sharp cheddar,Thinly sliced radishes,Sliced scallions,Chopped onions,Avocado slices,Shredded lettuce,Chopped fresh jalapeños,Fresh cilantro",8 to 12 servings,5,7.0,"Everyone needs a recipe for classic beef chili. Make this one your go-to! It's made with corn, peppers, tomatoes, and beans, and makes enough to freeze for later!"
211,Elise Bauer,Beef Brisket Pot Roast,beef,"['beef', 'brisket', 'point', 'onions', 'beef', 'carrots']",35,255,"['video', '1-pot', 'comfort food', 'brisket', 'pot roast']","4 to 5 pound (about 2 kg) beef brisket, flat cut or point cut,Salt,1 to 2 tablespoons extra virgin olive oil,3 large onions, sliced,5 to 6 garlic cloves, minced,1 sprig thyme,1 sprig rosemary,3 to 4 bay leaves,2 cups beef stock,2 to 3 large carrots, peeled and cut into 1 1/2-inch pieces,1 tablespoon mustard (optional)",Serves 8-12,5,12.0,"Beef Brisket cooked as a pot roast couldn't be easier. Just sear and then cook it in the oven with onions and garlic all afternoon until it becomes fall-apart tender. The leftovers freeze beautifully, too!"
212,Elise Bauer,Easy Beef Brisket,beef,"['brisket', 'beef']",10,180,"['video', 'passover', 'beef', 'brisket']","3 to 4 pounds of a brisket cut of beef,3/4 cup ,1/4 cup soy sauce,1 cup of water",Serves 8,5,16.0,"Easy 3-ingredient Beef Brisket! Here's how to cook beef brisket in oven, slathered in a mixture of BBQ sauce and soy sauce. Just wrap in foil, and bake until falling apart tender. This beef brisket is simple and delicious."
213,Elise Bauer,Classic Meatloaf,beef,"['celery', 'rib', 'onion', 'onion', 'greens', 'sausage', 'beef', 'chuck', 'spicy', 'pork', 'sausage', 'sausage', 'links', 'crumbs', 'bread', 'pulse', 'blender', 'crumbs', 'eggs']",20,70,"['video', 'comfort food', 'ground beef', 'meatloaf']","2 Tbsp unsalted butter,1 cup finely chopped onion,1 celery rib, finely chopped,1 carrot, finely chopped,1/2 cup finely chopped green onion, including the green onion greens,3 cloves garlic, minced (about 1 Tbsp),2 teaspoon salt (use 1 1/2 teaspoons if using Italian sausage),1/2 teaspoon freshly ground black pepper,2 teaspoons Worcestershire sauce,2/3 cup ketchup, divided 1/3 and 1/3,1 1/2 pounds of ground beef (chuck),3/4 pound of spicy ground pork sausage or Italian sausage (a mix of sweet and hot if you are using links),1 cup fresh bread crumbs (take a couple slices of fresh bread and pulse in a blender until you have crumbs),2 large eggs, beaten slightly,1/3 cup minced fresh parsley leaves","Serves 4 to 6, with plenty for leftovers for meatloaf sandwiches",5,65.0,"BEST Meatloaf EVER! Learn to how to make meatloaf with ground beef, pork sausage, onion, celery, garlic, egg, parsley, and breadcrumbs. Homemade meatloaf is a staple. You'll want to keep this classic meatloaf recipe on hand."
214,Nick Evans,Slow Cooker Bourbon Short Ribs with Cheesy Grits,beef,"['bone', 'beef', 'ribs', 'shallot', 'stalks', 'carrots', 'bourbon', 'orange', 'corn', 'grits', 'cheddar', 'cheese']",30,480,"['slow cooker', 'grits', 'short ribs']","1/2 cup all-purpose flour,1 teaspoon salt,1/2 teaspoon black pepper,3 to 4 pounds bone-in beef short ribs,3 tablespoons olive oil,1 large shallot, sliced,2 stalks celery, chopped,2 large carrots, chopped,2 cups beef broth,1/4 cup bourbon,1/4 cup brown sugar,2 tablespoons Worcestershire sauce,2 cloves garlic,1 bay leaf,Orange zest, for garnish,1 cup coarse ground corn grits,4 cups chicken or vegetable stock,1/2 teaspoon salt,1/2 teaspoon black pepper,2 tablespoons butter,1 cup grated cheddar cheese",6 servings,5,3.0,"Use your slow cooker to braise short ribs to perfection! They become incredibly tender in mix of beef stock and bourbon, and are terrific served on top of cheesy grits. It's a dish that warms you from the inside out. "
215,Elise Bauer,Beef Stroganoff,beef,"['sirloin', 'tenderloin', 'shallots', 'onions', 'mushrooms', 'tarragon', 'tarragon']",10,20,"['video', 'dinner', 'comfort food', 'beef', 'stroganoff']","5 Tbsp butter,1 pound of top sirloin or tenderloin, cut thin into 1-inch wide by 2 1/2-inch long strips,1/3 cup chopped shallots (can substitute onions),1/2 pound cremini mushrooms, sliced,Salt to taste,Pepper to taste,1/8 teaspoon nutmeg,1/2 teaspoon of dry tarragon or 2 teaspoons of chopped fresh tarragon,1 cup of sour cream (full fat) at room temperature",Serves 4,5,31.0,An easy beef stroganoff recipe with tender strips of beef and mushrooms cooked in sour cream and served over noodles. Made with the best beef stroganoff sauce.
216,Sara Bir,Cincinnati Chili,beef,"['beef', 'tomato', 'tomato', 'onion', 'chili', 'cinnamon', 'allspice', 'cayenne', 'apple', 'cider', 'chocolate', 'oyster', 'crackers', 'cheddar', 'cheese', 'kidney', 'beans', 'onion', 'spaghetti']",10,210,"['video', '1-pot', 'make-ahead', 'chili']","2 pounds ground beef (80:20 is good),1 (6-ounce) can tomato paste,4 cups water,1 (8-ounce) can tomato sauce,1 large onion, minced (about 3 cups),6 cloves garlic, minced,3 tablespoons chili powder,1 teaspoon cumin,1 teaspoon cinnamon,3/4 teaspoon ground allspice,1/4 teaspoon ground cloves,1/2 teaspoon cayenne,2 teaspoons kosher salt,2 tablespoons Worcestershire sauce,1 tablespoon apple cider vinegar,1 ounce unsweetened chocolate, optional,Oyster crackers,Finely shredded mild cheddar cheese,1 (15.5-ounce) can small red kidney beans, drained and warmed,Minced yellow onion,Hot cooked spaghetti",8 servings,5,11.0,"Authentic Cincinnati Chili is a meaty, rich, and uniquely spiced chili from (you guessed it!) Cincinnati, Ohio. It's served over hot spaghetti with your choice of toppings. Don’t forget the cheese and oyster crackers!"
217,Summer Miller,How to Grill the Best Burgers,beef,"['beef', 'onion', 'hamburger', 'buns', 'buns']",10,5,"['video', 'favorite summer', 'grill', 'burger']","2 pounds 80/20 ground beef, cold,4 cloves minced garlic,2 tablespoons minced onion,1 tablespoon Worcestershire sauce,1 3/4 teaspoons freshly ground pepper,1 1/2 teaspoons salt,6 hamburger buns,Butter for buns",6 burgers,5,14.0,"We tested all sorts of methods for mixing, shaping, and grilling backyard burgers, and even talked with grilling expert Steven Raichlen! Here is our take on the perfect grilled burger."
218,Emma Christensen,Pressure Cooker Shepherd’s Pie + First Look at The Ultimate Instant Pot Cookbook!,beef,"['smoke', 'point', 'lamb', 'beef', 'onion', 'celery', 'stalk', 'carrot', 'broth', 'peas', 'potatoes', 'milk']",15,45,"['cookbooks', 'pressure cooker', 'ground beef']","1 tablespoon avocado oil or other neutral oil with high smoke point,1 pound ground lamb or beef,1 yellow onion, diced,1 celery stalk, diced,1 large carrot, diced,1 garlic clove, minced,1 1/4 teaspoons kosher salt,1 teaspoon dried thyme,1/2 teaspoon freshly ground black pepper,1 tablespoon Worcestershire sauce,1 tablespoon tomato paste,1 cup vegetable broth,1 cup frozen peas,4 medium russet potatoes, peeled (about 2 1/2 pounds),1/2 cup whole milk",4 to 6 servings,5,9.0,"Everything you love about Shepherd's Pie, but this quick and easy version is made in the pressure cooker! Pressure cook the potatoes on top of the filling, then mash, assemble the casserole and serve. So easy!"
219,Elise Bauer,Carne Asada,beef,"['flank', 'skirt', 'limes', 'cider', 'toast', 'grind', 'jalapeño', 'chile', 'pepper', 'stems', 'flavor', 'corn', 'flour', 'tortillas', 'radishes', 'lettuce']",10,20,"['grill', 'mexican', 'low carb', 'steak']","1 1/2 to 2 pounds flank or skirt steak,Extra virgin olive oil,Kosher salt and freshly ground black pepper,1/3 cup extra virgin olive oil,1/4 cup soy sauce,2 limes, juiced (about 2 Tbsp),2 tablespoons cider vinegar,2 tablespoons sugar,1 teaspoon freshly ground black pepper,1 teaspoon ground cumin seed (if have whole, toast and then grind),4 garlic cloves, minced (4 teaspoons),1 jalapeño chile pepper, seeded and minced,1/2 bunch fresh cilantro, leaves and stems, finely chopped (great flavor in the stems!), about 1/2 cup,Chopped avocado,Lime wedges,Corn or flour tortillas,Thinly sliced radishes,Thinly sliced lettuce",Serves 4-6,5,24.0,"Grilled Carne Asada! Thinly sliced, grilled beef made with marinated, grilled skirt steak or flank steak. Serve with warm tortillas, avocados, and pico de gallo fresh tomato salsa."
220,Nick Evans,Beef and Broccoli Ramen Stir Fry,beef,"['honey', 'hoisin', 'beef', 'rice', 'cornstarch', 'packages', 'ramen', 'noodles', 'packets', 'sirloin', 'steak', 'florets']",10,15,"['family-friendly', 'stir-fry', 'ramen']","2 cloves garlic, minced,1 tablespoon grated fresh ginger,1/3 cup soy sauce,1/4 cup honey,1/4 cup hoisin sauce,3/4 cup beef broth,2 tablespoons rice vinegar,2 tablespoons sesame oil,2 tablespoons cornstarch,2 (3-ounce) packages dried ramen noodles, seasoning packets discarded,2 tablespoons olive oil, divided,1 pound sirloin steak, trimmed of fat and sliced into 1/4-inch thick strips,1/2 teaspoon kosher salt,1/2 teaspoon ground black pepper,3 cups fresh broccoli florets,Sesame seeds, garnish,Sriracha, garnish (optional)",4 servings,5,11.0,A Chinese takeout favorite—beef with broccoli—cooked with ramen noodles means this is one completely filling meal. And it's on the table in less than 30 minutes!
221,Elise Bauer,Beef Steak Fajitas,beef,"['flank', 'steak', 'skirt', 'steak', 'carne', 'onion', 'grain', 'grain', 'onion', 'slice', 'sections', 'point', 'bell', 'peppers', 'colors', 'lengthwise', 'juice', 'lime', 'jalapeño', 'pepper', 'ribs', 'eyes', 'eyes', 'pepper', 'stems']",70,15,"['video', 'dinner', '1-pot', 'texmex', 'fajitas']","1 tablespoon vegetable oil,1 pound of flank steak, skirt steak or carne asada,1 large yellow onion, peeled and sliced with the grain, not against the grain as one would normally slice an onion. Slice first in half, and then slice off sections a half inch wide at widest point.,2-3 bell peppers of various colors, stemmed, seeded, de-ribbed, sliced lengthwise into strips,Salt,Juice of 1 lime,2 tablespoons of extra virgin olive oil,2 cloves garlic, peeled, minced,1/2 teaspoon ground cumin,1/2 fresh jalapeño pepper, seeded, ribs removed, finely chopped (be careful not to touch your eyes or anywhere near your eyes after handling a jalapeño pepper!),1/4 cup chopped fresh cilantro, including stems",Serves 4,5,35.0,"Classic Tex Mex fajitas recipe, made with strips of skirt steak, onions and bell peppers, and served sizzling hot with fresh tortillas, guacamole, sour cream, and salsa. "
222,Jaden Hair,Broccoli Beef Stir Fry,beef,"['sherry', 'cornstarch', 'sirloin', 'grain', 'oyster', 'sherry', 'florets', 'heat', 'press', 'cornstarch']",15,15,"['quick and easy', 'chinese', 'low carb', 'healthy', 'broccoli']","1 teaspoon soy sauce,1 teaspoon , or dry sherry,1/2 teaspoon cornstarch,1/8 teaspoon freshly ground black pepper,3/4 pound flank or sirloin, sliced thinly across the grain,2 tablespoons oyster sauce,1 teaspoon , or dry sherry,1 tablespoon soy sauce,1/4 cup chicken broth,3/4 pound broccoli florets,2 tablespoons high-heat cooking oil,2 cloves garlic, very finely minced or pressed through a garlic press,1 teaspoon cornstarch, dissolved in 1 tablespoon water",Serves 3 to 4,5,12.0,"This classic Chinese Broccoli Beef Stir Fry recipe only 30 minutes from start to finish! Crisp-tender broccoli and tender steak, all decked out in a savory sauce. Serve with rice."
223,Elise Bauer,Carbonnade Beef and Beer Stew,beef,"['chuck', 'roast', 'onions', 'flour', 'beef', 'bottle', 'beer', 'whole', 'grain']",15,210,"['soup and stew', 'favorite winter', 'belgian', 'beef']","3 1/2 lbs chuck roast, cut into 1-inch pieces,Salt and freshly ground black pepper,4 Tbsp butter, divided 2 Tbsp and 2 Tbsp,3 medium yellow onions sliced about 1/4 inch thick (about 8 cups),3 Tbsp all-purpose flour,1 1/2 cups chicken or beef broth,1 1/2 cups (12 oz bottle) Belgian beer,4 sprigs fresh thyme,2 bay leaves,1 Tbsp whole grain mustard,1 Tbsp brown sugar",Serves 6,5,13.0,"Carbonnade Belgian beef stew recipe, with beef, onions, and Belgian ale, and seasoned with bay and thyme."
224,Elise Bauer,Beef Roast Braised in Red Wine,beef,"['chuck', 'roast', 'boneless', 'pancetta', 'onions', 'celery', 'tomato', 'press', 'bottle', 'substitute', 'cabernet', 'sauvignon', 'wine', 'tomatoes']",15,210,"['favorite winter', 'gluten-free', 'braised beef', 'chuck roast']","1 (3 1/2 pound) chuck roast, boneless,Salt and ground black pepper,4 oz pancetta, cut into 1/4-inch cubes,2 medium onions, chopped medium (about 2 cups),2 medium carrots, chopped medium (about 1 cup),2 ribs celery, chopped medium (1 cup),1 Tbsp tomato paste,3 medium cloves garlic, minced or pressed through garlic press (about 1 tablespoon),1 (750 ml) bottle Zinfandel wine (can substitute Cabernet Sauvignon, or other full bodied red wine),1 can (14 1/2 ounces) diced tomatoes, drained,1 Tbsp chopped fresh oregano,1 teaspoon minced fresh rosemary",Serves 6,5,10.0,"Not your everyday pot roast recipe! Beef roast braised in red wine, with pancetta, onions, carrots, celery, tomato, and garlic."
225,Elise Bauer,Chili Con Carne,beef,"['chili', 'chipotle', 'coriander', 'bacon', 'chuck', 'roast', 'onion', 'chili', 'peppers', 'ribs', 'tomatoes', 'lime', 'juice', 'kidney', 'beans', 'cornstarch', 'couple', 'cheddar', 'cheese', 'onion']",10,135,"['soup and stew', 'gluten-free', 'beef', 'chili']","2 Tbsp red chili powder,1 teaspoon chipotle chile powder,1 Tbsp ground cumin,2 teaspoons ground oregano,1 teaspoon thyme,1/2 teaspoon ground coriander seeds,3-4 Tbsp water,4 strips bacon,One 2 1/2 pound chuck roast, cut into 1/2-inch cubes,Salt,1 medium white onion, chopped,3 cloves garlic, minced,2 jalapeño chili peppers, stems removed, seeded, ribs removed, minced,1 14-oz can whole tomatoes,2 1/2 cups water,1 Tbsp freshly squeezed lime juice,1 teaspoon sugar,1 14-oz can red kidney beans, drained and rinsed,1 teaspoon cornstarch, dissolved in a couple tablespoons of water,Salt,Grated cheddar cheese and chopped red onion for garnish",Serves 4 to 6,5,10.0,"Chili con Carne! With chunks of chuck roast, browned in bacon fat and cooked with red kidney beans, red chili and chipotle chili, onion, garlic, jalapeños, tomatoes, and lime juice. Top with grated cheddar and chopped red onion. So GOOD!"
226,Coco Morante,Pressure Cooker Porcupine Meatballs,beef,"['onion', 'reserve', 'reserve', 'tomato', 'beef', 'grain', 'rice']",10,30,"['instant pot', 'pressure cooker', 'gluten-free']","2 tablespoons olive or vegetable oil,1 medium yellow onion, chopped (reserve half),2 cloves garlic, minced (reserve half),1 can (15 ounces) tomato sauce,1/2 cup water,1 tablespoon Worcestershire sauce,1 pound ground beef (85% lean),1/2 cup long grain rice,1 teaspoon salt,1/2 teaspoon ground black pepper",4 (makes about 1 dozen meatballs),5,13.0,"Classic retro dinner, made in the pressure cooker. Ground beef and rice meatballs in a simple tomato sauce. (No porcupines!) 30 minute dinner."
227,Elise Bauer,Italian Pot Roast,beef,"['rump', 'chuck', 'beef', 'roast', 'carrot', 'celery', 'stalk', 'onion', 'wine', 'barbera', 'plum', 'tomatoes', 'food', 'mill']",10,240,"['1-pot', 'italian', 'beef', 'pot roast']","3 1/2 to 4 pound rump or chuck beef roast,1 teaspoon salt plus more to taste,1/2 teaspoon freshly ground black pepper,1/4 cup extra virgin olive oil,1 large carrot, diced (about 1 cup),1 large celery stalk, diced (about 1 cup),1 medium red onion, diced (1 to 1 1/2 cups),2 garlic cloves, finely minced,2 tablespoons chopped fresh flat-leaf parsley,1 bay leaf,1 tablespoon finely chopped fresh sage,3 cups medium-bodied Italian red wine (we used a Barbera),1 28-ounce can Italian plum tomatoes, put through a food mill to remove the seeds",Serves 8,5,8.0,"Italian pot roast! Rump or chuck beef roast, first browned in olive oil, then slow cooked in a sofritto base of carrots, celery, and onion, with Italian plum tomatoes and red wine."
228,Elise Bauer,Dad’s Stuffed Bell Peppers,beef,"['rice', 'rice', 'bell', 'peppers', 'onion', 'beef', 'tomatoes', 'drain', 'liquid', 'dash', 'tabasco']",10,50,"['video', 'comfort food', 'gluten-free', 'beef', 'bell pepper']","1 1/2 cup of , white rice (from about 3/4 cup raw rice),4 to 6 bell peppers, any color,5 tablespoons extra-virgin olive oil,1 medium yellow onion, peeled and chopped,1 clove garlic, peeled and chopped,1 pound lean ground beef,1 cup chopped tomatoes, fresh or canned (if using can, drain of excess liquid first),1 tablespoon chopped fresh oregano, or 1 teaspoon of dried oregano,1 teaspoon salt,1/2 teaspoon ground black pepper,1/2 cup ketchup,1/2 teaspoon of Worcestershire Sauce,Dash of Tabasco sauce",Serves 4-6,5,41.0,"These Stuffed Bell Peppers are such a classic. They're made with a mix of ground beef, rice, onions, tomatoes, and spices. No need to pre-cook the filling — just stuff, bake, and serve!"
229,Elise Bauer,Steak Diane,beef,"['beef', 'tenderloin', 'choice', 'beef', 'tomato', 'shallots', 'chives']",15,15,"['1-pot', 'quick and easy', 'steak']","4 (6-ounce) center cut beef tenderloin steaks or another cut of your choice,Salt,1/2 cup beef broth (see Recipe Note),4 teaspoons Worcestershire sauce,2 teaspoons Dijon mustard,2 teaspoons tomato paste,2 tablespoons butter,1/2 cup finely minced shallots,4 tablespoons cognac or brandy,1/3 cup heavy cream,Freshly ground black pepper,1-2 tablespoons chives, finely chopped",Serves 4,5,16.0,"Try this classic recipe for Steak Diane! ""Diane"" refers to the pan sauce made with mustard, Worcestershire, cream, and cognac. It's ready in under 30 minutes, making it a great choice for a date night in!"
230,Elise Bauer,Ginger Beef Stir Fry,beef,"['rice', 'gluten', 'honey', 'pepper', 'top', 'sirloin', 'steak', 'cornstarch', 'vegetable', 'dark', 'onions', 'greens', 'chilis', 'serranos', 'nob', 'lengthwise', 'matchstick']",15,10,"['stir-fry', 'chinese', 'gluten-free', 'beef']","2 Tbsp unseasoned rice vinegar,5 Tbsp soy sauce (use gluten-free soy sauce if cooking gluten-free),1 Tbsp honey,1 Tbsp ,1 teaspoon chile pepper flakes,1 teaspoon ground cumin,1 1 1/4 to 1 1/2 lb top sirloin steak,1 Tbsp cornstarch,2 Tbsp vegetable oil (preferably peanut),1 Tbsp dark toasted sesame oil (optional),3-4 green onions, cut on a diagonal, 1/2-inch apart, including the greens,2 cloves garlic, thinly sliced,2-3 hot chilis, preferably red serranos, seeded, sliced,1-inch nob of ginger, peeled, cut lengthwise into matchstick shapes,1/2 cup loosely packed, chopped cilantro",Serves 4-6,5,16.0,Easy Beef Stir Fry! With ginger and scallions and a honey soy marinade.
231,Coco Morante,Instant Pot Beef Chili,beef,"['bell', 'onion', 'ribs', 'celery', 'chili', 'tomato', 'tomatoes', 'make', 'liquid', 'tomato', 'juices', 'beans', 'mix', 'onions', 'knots']",10,30,"['stew', 'instant pot', 'chili']","1 tablespoon olive or vegetable oil,1 medium green bell pepper, chopped,1 medium yellow onion, chopped,2 ribs celery, chopped,1 clove garlic, finely chopped,1 pound ground beef (85% lean),2 tablespoons chili powder,1 1/2 teaspoons salt,1/2 teaspoon oregano,3 tablespoons tomato paste,1 (14-ounce) can diced tomatoes,Water or broth, as needed to make 1 cup liquid with the tomato juices,1 (15.5-ounce) can kidney beans, drained and rinsed,1 cup shredded cheese, any favorite mix, to serve,2 green onions, sliced thinly, to serve,, cornbread, or garlic knots, to serve",4 to 6 servings,5,16.0,"Instant pot beef chili recipe is ready in under an hour! This version is made with green peppers, onions, celery, ground beef, and tomatoes. Top with shredded cheese and sliced green onions, and serve some cornbread on the side."
232,Elise Bauer,Hamburger Stroganoff,beef,"['chuck', 'beef', 'onion', 'cremini', 'mushrooms', 'button', 'mushrooms', 'sherry', 'wine', 'lemon', 'juice', 'egg', 'noodles']",10,25,"['budget', 'quick and easy', 'ground beef', 'stroganoff']","Butter,1 pound ground chuck beef,Salt and pepper,1 yellow onion, chopped (about 1 cup),8 ounces sliced cremini mushrooms (can substitute button mushrooms), sliced,1/3 cup of dry sherry, dry white wine, or water,1/2 cup chopped parsley, loosely packed,1 1/4 cups full fat sour cream (room temperature),1 teaspoon lemon juice,1/4 teaspoon paprika or more to taste,8 ounces egg noodles",Serves 4,5,7.0,"Hamburger stroganoff made with ground beef in a sour cream mushroom sauce, with onions, parsley, paprika, served over egg noodles."
233,Elise Bauer,Santa Maria Style Tri Tip,beef,"['tip', 'roast', 'triangle', 'steak', 'bottom', 'sirloin', 'cayenne']",60,35,"['grill', 'low carb', 'paleo', 'steak']","1 tri-tip roast, also known as triangle steak, a bottom sirloin cut (anywhere from 2 1/2 pounds to 4 pounds), look for one well-marbled with fat,1 Tbsp Kosher salt,1 Tbsp finely ground black pepper,1 Tbsp garlic powder,1 Tbsp onion powder,1 teaspoon cayenne,1 Tbsp dried oregano,1 teaspoon dry rosemary (or fresh, finely minced),1/2 teaspoon dry sage",Serves 5 to 8,5,7.0,"A California classic, Santa Maria style tri tip beef roast, a triangle shaped bottom sirloin cut, with a peppery, salty, garlic-y crust. "
234,Elise Bauer,Italian Meatballs,beef,"['beef', 'percent', 'pork', 'milk', 'percent', 'bread', 'crusts', 'cheese', 'romano', 'eggs', 'marjoram', 'onions', 'celery', 'tomatoes', 'juice', 'tomatoes', 'tomato']",25,60,"['family-friendly', 'comfort food', 'italian', 'ground beef', 'meatballs']","1 pound ground beef (at least 16 percent fat),1 pound ground pork,2/3 cup milk (whole or 2 percent),3 slices of white bread, crusts removed (about 3 ounces),1/4 cup ricotta cheese,1/4 cup grated Parmesan or Romano cheese,2 large eggs,1 teaspoon salt (or 2 teaspoons of kosher salt),1 tablespoon chopped fresh parsley,2 teaspoons black pepper,1 teaspoon dried oregano or marjoram,2-3 garlic cloves, minced,About 1 cup flour, for dusting,1/3 cup extra virgin olive oil,2 1/2 cups (24 ounces) , (recipe follows, or use already prepared),2 tablespoons extra virgin olive oil,3/4 cup finely chopped onions,3/4 cup finely chopped carrots,3/4 cup finely chopped celery,2 tablespoons chopped fresh parsley,1 clove garlic, minced,1 28-oz can crushed or whole tomatoes, including the juice, or 1 3/4 pound of fresh tomatoes, peeled, seeded, and chopped,1/2 teaspoon dried basil or 2 Tbsp chopped fresh basil,1 teaspoon tomato paste,Salt and freshly ground black pepper to taste",Makes about 16 meatballs. Serves 8,5,36.0,"These classic Italian-American style meatballs are huge and pillowy soft! They're mixed with ground beef and pork, loaded with herbs and cheese, and served with a traditional tomato sauce. Make them baseball-sized for a dinner entree, or roll them smaller for an appetizer."
235,Elise Bauer,Liver and Onions,beef,"['calves', 'calves', 'mature', 'beef', 'liver', '½', 'flour', 'bacon', 'onions']",10,20,"['low carb', 'beef', 'liver', 'onion']","1¼ lb calves liver (be sure to use calves or veal liver, not mature beef liver), thinly sliced,½ to 1 cup of flour, seasoned with,Salt, pepper, paprika, dry mustard to taste,3 teaspoons bacon fat,2 yellow onions, sliced thin",Serves 4,,,"Liver and onions! Calves liver, dredged in seasoned flour, sauteed in bacon fat, with thinly sliced onions. "
